"Time","kWh.difference"
2022-10-29 00:00:00,25
2022-10-29 01:00:00,25
2022-10-29 02:00:00,24
2022-10-29 03:00:00,23
2022-10-29 04:00:00,24
2022-10-29 05:00:00,25
2022-10-29 06:00:00,23
2022-10-29 07:00:00,24
2022-10-29 08:00:00,25
2022-10-29 09:00:00,26
2022-10-29 10:00:00,25
2022-10-29 11:00:00,28
2022-10-29 12:00:00,50
2022-10-29 13:00:00,41
2022-10-29 14:00:00,31
2022-10-29 15:00:00,32
2022-10-29 16:00:00,29
2022-10-29 17:00:00,28
2022-10-29 18:00:00,23
2022-10-29 19:00:00,24
2022-10-29 20:00:00,24
2022-10-29 21:00:00,23
2022-10-29 22:00:00,24
2022-10-29 23:00:00,22

